 X (m/s2), Theta (deg)
1.951274,91.420372
1.808819,91.571526
2.155979,91.715088
2.808398,92.014549
2.486378,92.261543
1.66397,92.59124
1.198298,91.726364
1.347936,90.847786
1.464054,90.399376
1.574188,90.70787
1.599327,91.540741
1.638831,92.053947
1.759738,93.286018
1.964442,93.394737
2.147599,93.62204
2.207454,93.393539
2.213439,93.139252
2.169147,93.201401
2.206257,93.23735
2.237381,93.025543
2.280477,92.783234
2.213439,92.402496
2.014721,92.043571
1.806425,91.719513
1.71784,91.653435
1.62686,91.184181
1.660379,90.805664
1.771709,91.050484
1.793257,91.271553
1.76333,91.801979
1.697489,92.255997
1.695095,93.14946
1.721431,93.870628
1.637634,93.841446
1.54426,93.359314
1.502362,93.123138
1.528698,92.950989
1.643619,92.505653
1.774103,91.814972
1.854309,91.393265
1.831564,91.26844
1.745373,91.499924
1.747767,92.130661
1.70108,92.2155
1.729811,92.061226
1.880645,92.213104
2.047042,91.98996
2.230199,91.906052
1.9405,92.918869
1.9405,92.918869
1.885434,95.923065
4.047398,112.45871
3.818752,114.160614
3.818752,114.160614
4.305972,111.152298
5.250484,103.293533
5.105635,101.568634
5.063736,99.379501
5.185841,96.625984
5.555745,95.518372
5.926847,97.240707
5.989096,98.161743
5.814319,98.970215
5.370194,100.369743
4.525041,102.1483
3.78643,103.653656
3.581726,108.930901
3.918111,103.356651
4.790798,99.97599
5.628768,97.052521
5.97473,104.084244
5.50427,107.218445
4.752491,108.356148
4.068946,108.678955
3.606865,108.644127
3.451242,108.337837
3.579332,107.41243
3.90614,105.82782
4.272453,104.425934
4.599261,103.470566
4.818331,102.774864
4.92607,102.173996
4.979939,101.469963
4.987122,101.319885
5.030218,101.265144
5.06254,101.298134
5.098453,101.438507
5.096058,101.582924
5.075707,101.769768
5.029021,101.83844
4.965574,101.994392
4.929661,102.094185
4.882974,102.269463
4.841076,102.600433
4.809951,102.894836
4.770447,103.228333
4.735731,103.321724
4.709395,103.323349
4.692636,103.265244
4.696227,103.185394
4.717774,103.068008
4.746505,102.970741
4.750096,102.828506
4.753687,102.59716
4.763264,102.462578
4.776433,102.430626
4.801571,102.403564
4.817134,102.393181
4.844667,102.367508
4.848258,102.462471
4.84347,102.417068
4.811148,102.500389
4.776433,102.542488
4.758476,102.644203
4.753687,102.842934
4.76087,102.906769
4.781221,102.852516
4.787206,102.804276
4.801571,102.787201
4.884171,102.755325
4.947618,102.767891
5.006276,102.854324
5.072116,102.893471
5.103241,102.908463
5.12,102.883278
5.085284,102.879288
5.011064,102.876129
4.909311,102.901215
4.775235,102.882675
4.666299,103.074989
4.568137,103.40638
4.51307,103.452431
4.51307,103.420784
4.527435,103.292404
4.525041,102.969543
4.516662,102.70742
4.560954,102.550438
4.636372,102.370407
4.734534,102.544853
4.809951,102.602577
4.859032,102.625351
4.894945,102.516975
4.923676,102.023987
5.001487,101.394066
5.075707,100.722656
5.153519,99.926033
5.201403,99.282066
5.220557,98.903503
5.188235,98.624306
5.12,98.671188
4.896142,98.825394
4.781221,99.606232
4.776433,100.613686
4.808754,100.835106
4.836287,100.092094
4.841076,99.574135
4.780024,100.011314
4.625597,100.978035
4.468778,101.296623
4.388572,99.877472
4.437653,97.735016
4.666299,96.325951
4.935647,96.341324
5.072116,97.436722
5.011064,98.923256
4.747702,100.371094
4.404134,101.356911
4.200627,101.96228
4.198233,102.150261
4.392163,101.855171
4.668694,100.925407
4.909311,99.469917
5.060145,98.12191
5.12,96.911247
5.081693,95.785896
5.00867,94.763741
4.921282,93.699646
4.85185,92.859482
4.7896,92.144279
4.765658,91.61689
4.777629,91.309608
4.782418,90.848648
4.776433,90.588943
4.721366,90.42276
4.635174,90.211563
4.49272,90.358932
4.394557,90.173569
4.361038,89.368355
4.353856,88.026871
4.477157,87.980881
4.691438,88.372368
4.765658,87.437431
4.696227,85.350121
4.56694,84.005089
4.486734,84.981636
4.565742,88.079559
4.650737,88.869911
4.61243,88.46566
4.564546,88.43885
4.675876,89.436783
5.069722,91.311073
5.266047,91.787544
5.323507,91.629387
5.18225,91.101654
4.898537,90.055229
4.563348,88.363792
4.41012,87.499992
4.390966,86.813881
4.647145,86.993004
4.922479,87.326675
4.999093,86.468002
4.91769,85.800507
4.683059,84.108879
4.369418,82.172081
3.98874,80.14093
3.768473,79.180519
3.738546,78.733414
3.809175,78.160194
3.809175,78.286995
3.5925,77.176544
3.533842,77.893791
3.485958,76.686508
3.626019,76.267799
3.799598,77.230461
4.096479,80.135834
4.329914,82.338966
4.511873,82.358871
4.690241,81.457779
4.768053,79.597992
4.875792,78.075546
4.954801,77.406807
5.036203,76.804832
5.13676,75.992561
5.232528,75.90905
5.305551,75.286636
5.318719,75.260292
5.404911,75.302864
5.499481,75.22374
5.695806,75.089363
5.866991,75.535011
5.899313,76.403938
5.791574,76.135101
5.649119,75.658653
5.549759,74.654541
5.558139,74.113678
5.796362,74.414429
6.054936,74.443649
6.221333,74.63636
6.228516,75.239105
6.130353,76.312424
6.004658,76.137222
6.040571,75.865456
6.184223,75.630379
6.366182,76.334518
6.540959,76.173805
6.566098,76.760612
6.550536,77.090363
6.524199,76.057274
6.495469,75.714493
6.523003,76.335365
6.630742,77.351563
6.71813,78.036064
